Reputation,LuFid,EinheitlicheID,Exz_gefoerdert_FJ,Profs,Mitarbeiter,Drittmitteleinnahmen,Grundmittel,DiplBaMa,StudierendeGesamt,Zitationen,Publikationen,Foerderphase,DM_DFG_Mittel,FoerderungPhase1
0,42,59,0,0,.2,0,.0500643108294476,,0,0,0,1,2.011587528085318,0
0,42,59,0,.2,.80000001,0,.0373646439739221,26.200001,.0262,0,0,2,2.865518231705678,0
0,43,59,0,0,,0,.1178489702260227,,0,0,0,1,2.011587528085318,0
0,48,59,0,1,3,.1347716691591685,.2542045579641338,,0,.00040000002,.00020000001,1,2.011587528085318,0
0,48,59,0,1,3,0,.209301861484114,,0,.00080000004,0,2,2.865518231705678,0
0,49,59,0,0,.2,.0335093277608775,.7624344371437966,,0,0,0,1,2.011587528085318,0
0,49,59,0,0,0,.0063417291758352,.2400039202378769,,0,0,0,2,2.865518231705678,0
0,50,59,0,1,2.5999999,.1521759516972443,1.060000119886664,95,.094999999,0,0,1,2.011587528085318,0
0,50,59,0,1.2,2.5999999,.0960999408319744,.4265501185291013,364.39999,.3644,0,0,2,2.865518231705678,0
0,51,59,0,5.2,23.200001,.4184423954126508,.37536603225754,,0,.0014,.00020000001,1,2.011587528085318,0
0,51,59,0,5.6,47.400002,2.218552950785174,1.574490707946755,,0,.0041999999,.00080000004,2,2.865518231705678,0
0,52,59,0,.6,1.8,.0209329336436209,.4629045294753427,,0,0,0,1,2.011587528085318,0
0,52,59,0,0,2.5999999,.0472225689340202,.25478538280206,,0,0,0,2,2.865518231705678,0
0,55,59,0,0,,0,,627.59998,.62759995,0,0,1,2.011587528085318,0
0,55,59,0,1.333333333333333,0,0,.0019575328616758,906.40002,.90640002,0,0,2,2.865518231705678,0
0,56,59,0,7.8,17.4,.111749039042562,1.85952639740167,17.799999,.0178,.0080000004,.0024000001,1,2.011587528085318,0
0,56,59,0,8.4,34.200001,.7228688957777695,1.572910010795771,531.40002,.53140002,.0138,.0032000002,2,2.865518231705678,0
0,2,74,0,1,10.6,0,,,0,.1506,.0060000001,1,32.29305537589401,0
0,2,74,0,0,12.6,0,,,0,.34020001,.0164,2,53.81510527864681,0
0,3,74,0,0,,0,.0152370203123047,64.199997,.064199999,0,.00060000003,1,32.29305537589401,0
0,3,74,0,0,,0,0,0,0,.00020000001,.001,2,53.81510527864681,0
0,6,74,0,11.2,70,1.494720934440973,6.804156229777198,944.40002,.94440001,0,0,1,32.29305537589401,0
0,6,74,0,13.2,69,1.153535278913565,5.58004953804262,733.79999,.73379999,.00020000001,.00020000001,2,53.81510527864681,0
0,8,74,0,20.6,218.8,12.7478246339986,15.24623776163859,792.40002,.7924,.015,.0020000001,1,32.29305537589401,0
0,8,74,0,17.2,216.60001,11.75650563538861,9.785924627919766,1017.4,1.0174,.0634,.0046000001,2,53.81510527864681,0
0,11,74,0,1,2.8,0,.3136864464046956,,0,0,0,1,32.29305537589401,0
0,11,74,0,1,3,.0009560874088027,.2714836524245083,,0,0,.00020000001,2,53.81510527864681,0
0,12,74,0,9.6,52.400002,1.566082559140354,4.239938021381827,353.20001,.38999999,1.478,.034000002,1,32.29305537589401,0
0,12,74,0,10.6,84.800003,2.707831420104406,3.638746587970823,373.79999,.41240001,2.5148001,.1002,2,53.81510527864681,0
0,13,74,0,18,170.60001,2.89340103002172,12.52950698824872,487.20001,.51999998,4.5912004,.14760001,1,32.29305537589401,0
1,13,74,0,18.6,207.39999,7.219470409819184,7.896804714498039,645.59998,.69740003,9.3834,.3276,2,53.81510527864681,0
1,15,74,0,17.8,158.2,6.829172475638707,12.37866763557674,1459.8,1.4604,.153,.022799999,1,32.29305537589401,0
1,15,74,0,18.8,201.8,11.14534431119867,7.753651186780077,1727,1.727,.46679997,.035999998,2,53.81510527864681,0
0,17,74,0,2.8,5,.0785818730857281,.619895833418075,171,.171,.0041999999,.00060000003,1,32.29305537589401,0
0,17,74,0,4.4,5,.1576659443183719,.7815496926407561,149.2,.14919999,.0184,.001,2,53.81510527864681,0
0,20,74,0,3,8.6000004,.1394185694588898,.9996602807740935,153.39999,.2024,.0099999998,.00060000003,1,32.29305537589401,0
0,20,74,0,3,10.6,.1168328517236674,.8984256381530413,146,.24780001,.039799999,.0022,2,53.81510527864681,0
0,21,74,0,11.2,99.199997,5.357537584921536,3.932609923054073,299.60001,.29960001,1.3026,.071999997,1,32.29305537589401,0
0,21,74,0,11.2,102.8,4.751029492455427,3.197452878940104,357,.35699999,2.7448001,.16139999,2,53.81510527864681,0
0,22,74,0,3,4.4000001,.029838563309041,.5665183120897062,343.79999,.50279999,.00060000003,.00020000001,1,32.29305537589401,0
0,22,74,0,2.8,7.1999998,.0108089638523894,.5770632723801692,298,.47999999,.0014,0,2,53.81510527864681,0
